1 2 3 4 	5 6 7 8 	9 10 11 12 
1 2 3 4 	5 6 7 9 	8 10 11 12 
1 2 3 4 	5 6 7 10 	8 9 11 12 
1 2 3 4 	5 6 7 11 	8 9 10 12 
1 2 3 4 	5 6 7 12 	8 9 10 11 
1 2 3 4 	5 6 8 9 	7 10 11 12 
1 2 3 4 	5 6 8 10 	7 9 11 12 
1 2 3 4 	5 6 8 11 	7 9 10 12 
1 2 3 4 	5 6 8 12 	7 9 10 11 
1 2 3 4 	5 6 9 10 	7 8 11 12 
1 2 3 4 	5 6 9 11 	7 8 10 12 
1 2 3 4 	5 6 9 12 	7 8 10 11 
1 2 3 4 	5 6 10 11 	7 8 9 12 
1 2 3 4 	5 6 10 12 	7 8 9 11 
1 2 3 4 	5 6 11 12 	7 8 9 10 
1 2 3 4 	5 7 8 9 	6 10 11 12 
1 2 3 4 	5 7 8 10 	6 9 11 12 
1 2 3 4 	5 7 8 11 	6 9 10 12 
1 2 3 4 	5 7 8 12 	6 9 10 11 
1 2 3 4 	5 7 9 10 	6 8 11 12 
1 2 3 4 	5 7 9 11 	6 8 10 12 
1 2 3 4 	5 7 9 12 	6 8 10 11 
1 2 3 4 	5 7 10 11 	6 8 9 12 
1 2 3 4 	5 7 10 12 	6 8 9 11 
1 2 3 4 	5 7 11 12 	6 8 9 10 
1 2 3 4 	5 8 9 10 	6 7 11 12 
1 2 3 4 	5 8 9 11 	6 7 10 12 
1 2 3 4 	5 8 9 12 	6 7 10 11 
1 2 3 4 	5 8 10 11 	6 7 9 12 
1 2 3 4 	5 8 10 12 	6 7 9 11 
1 2 3 4 	5 8 11 12 	6 7 9 10 
1 2 3 4 	5 9 10 11 	6 7 8 12 
1 2 3 4 	5 9 10 12 	6 7 8 11 
1 2 3 4 	5 9 11 12 	6 7 8 10 
1 2 3 4 	5 10 11 12 	6 7 8 9 
1 2 3 5 	4 6 7 8 	9 10 11 12 
1 2 3 6 	4 5 7 8 	9 10 11 12 
1 2 3 7 	4 5 6 8 	9 10 11 12 
1 2 3 8 	4 5 6 7 	9 10 11 12 
1 2 4 5 	3 6 7 8 	9 10 11 12 
1 2 4 6 	3 5 7 8 	9 10 11 12 
1 2 4 7 	3 5 6 8 	9 10 11 12 
1 2 4 8 	3 5 6 7 	9 10 11 12 
1 2 5 6 	3 4 7 8 	9 10 11 12 
1 2 5 7 	3 4 6 8 	9 10 11 12 
1 2 5 8 	3 4 6 7 	9 10 11 12 
1 2 6 7 	3 4 5 8 	9 10 11 12 
1 2 6 8 	3 4 5 7 	9 10 11 12 
1 2 7 8 	3 4 5 6 	9 10 11 12 
1 3 4 5 	2 6 7 8 	9 10 11 12 
1 3 4 6 	2 5 7 8 	9 10 11 12 
1 3 4 7 	2 5 6 8 	9 10 11 12 
1 3 4 8 	2 5 6 7 	9 10 11 12 
1 3 5 6 	2 4 7 8 	9 10 11 12 
1 3 5 7 	2 4 6 8 	9 10 11 12 
1 3 5 8 	2 4 6 7 	9 10 11 12 
1 3 6 7 	2 4 5 8 	9 10 11 12 
1 3 6 8 	2 4 5 7 	9 10 11 12 
1 3 7 8 	2 4 5 6 	9 10 11 12 
1 4 5 6 	2 3 7 8 	9 10 11 12 
1 4 5 7 	2 3 6 8 	9 10 11 12 
1 4 5 8 	2 3 6 7 	9 10 11 12 
1 4 6 7 	2 3 5 8 	9 10 11 12 
1 4 6 8 	2 3 5 7 	9 10 11 12 
1 4 7 8 	2 3 5 6 	9 10 11 12 
1 5 6 7 	2 3 4 8 	9 10 11 12 
1 5 6 8 	2 3 4 7 	9 10 11 12 
1 5 7 8 	2 3 4 6 	9 10 11 12 
1 6 7 8 	2 3 4 5 	9 10 11 12 
